Тип предложения,Комнаты,Адрес,Серия,Площадь,Отопление,Состояние,Возможность рассрочки,Возможность ипотеки,Возможность обмена,Интернет,Газ,Балкон,Мебель,Пол,Высота потолков,Телефон,Санузел,Входная дверь,Парковка,Ценна доллар,Lat,Lon,Город,Номер этажа,Общий этаж,Домофон,Видеонаблюдение,Охрана,Решетки на окнах,Кодовый замок,Сигнализация,Видеодомофон,Консьерж,Договор купли-продажи,Договор дарения,Технический паспорт,Акт ввода в эксплуатацию,Красная книга,зеленая книга,Материал,Год
собственник,2,"Бишкек, Золотой квадрат, Панфилова/Московская",индивид. планировка,74.0,1.0,под самоотделку (псо),0.0,0.0,обмен не предлагать,,1.0,1.0,пустая,,3.0,,раздельный,металлическая,паркинг,94900,42.8694,74.6002,Бишкек,8,10,0,1,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,2024
агент,3,"Бишкек, Магистраль, просп. Ч. Айтматова 299/3",элитка,127.0,1.0,под самоотделку (псо),0.0,0.0,,,1.0,1.0,пустая,,3.4,,2 с/у и более,металлическая,рядом охраняемая стоянка,255000,42.825,74.5839,Бишкек,2,8,1,1,1,0,0,0,1,1,0,0,1,0,0,0,монолитный,2022
собственник,3,"Бишкек, Кара Дарыя, Ахунбаева/Крапоткина.",элитка,80.0,1.0,евроремонт,0.0,0.0,обмен не предлагать,проводной,1.0,1.0,частично меблирована,ламинат,3.0,,раздельный,металлическая,,104000,42.8416,74.6265,Бишкек,6,12,1,1,1,0,0,0,0,0,1,0,1,0,0,0,кирпичный,2022
агент,2,"Бишкек, Восток-5 м-н",105 серия,52.0,1.0,хорошее,,,,проводной,1.0,1.0,частично меблирована,,,,раздельный,бронированная,,72700,42.8734,74.6317,Бишкек,3,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,
собственник,3,"Бишкек, Кок-Жар ж/м, Кок-Жар (Куйручук/ Тон)",элитка,75.0,1.0,не достроено,1.0,0.0,,,1.0,1.0,,,,,,,,71250,42.8518,74.6407,Бишкек,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2025
агент,3,"Бишкек, Филармония, Абдумомунова 290",элитка,96.0,1.0,под самоотделку (псо),0.0,0.0,обмен не предлагать,,1.0,,пустая,,3.1,,2 с/у и более,металлическая,,163200,42.8802,74.5898,Бишкек,10,14,0,1,1,0,0,0,0,0,0,0,0,0,1,0,кирпичный,2024
агент,3,"Бишкек, 4 м-н",104 серия,58.0,1.0,среднее,0.0,,,,1.0,,,,,,совмещенный,,,70000,42.8389,74.6231,Бишкек,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,
агент,3,"Бишкек, Восток-5 м-н",105 серия,65.0,1.0,хорошее,0.0,,,,1.0,1.0,полностью меблирована,,,,раздельный,металлическая,паркинг,86000,42.8726,74.6344,Бишкек,1,5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,панельный,1983
агент,3,"Бишкек, 7 м-н, 7 мкр., ул. Юнусалиева",элитка,116.0,1.0,под самоотделку (псо),0.0,0.0,,,1.0,1.0,пустая,,3.3,,2 с/у и более,бронированная,,186000,42.829,74.6218,Бишкек,11,15,1,1,1,0,1,0,1,1,0,0,0,0,1,0,монолитный,2022
агент,2,"Бишкек, КНУ, Абдымомунова 255",элитка,81.0,1.0,под самоотделку (псо),0.0,0.0,обмен не предлагать,,1.0,1.0,пустая,,3.0,,2 с/у и более,металлическая,,87480,42.8805,74.5908,Бишкек,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,3,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,88.0,1.0,евроремонт,,,,проводной,1.0,1.0,,ламинат,3.0,,раздельный,бронированная,рядом охраняемая стоянка,108000,42.8451,74.5654,Бишкек,2,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,монолитный,2023
агент,3,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,88.0,1.0,евроремонт,,,,проводной,1.0,1.0,,ламинат,3.0,,раздельный,бронированная,рядом охраняемая стоянка,108000,42.8451,74.5654,Бишкек,2,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,монолитный,2023
агент,3,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,100.0,1.0,евроремонт,,,,проводной,1.0,1.0,,,3.0,,,бронированная,рядом охраняемая стоянка,123000,42.8451,74.5654,Бишкек,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
собственник,1,"Бишкек, Восток-5 м-н 23/алматинская",105 серия,39.0,1.0,среднее,,1.0,,,1.0,,,,,,,,,49900,42.8689,74.6352,Бишкек,7,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,панельный,
агент,2,"Бишкек, Бишкек-Парк, Токтогула/Исанова",элитка,74.0,1.0,евроремонт,,,,,,,,,3.0,,,,,123000,42.873,74.5901,Бишкек,11,16,0,1,1,0,0,0,0,0,1,0,1,0,1,0,кирпичный,2020
собственник,1,"Бишкек, Тунгуч м-н, мкр тунгуч 6",106 серия,36.0,1.0,среднее,,1.0,,проводной,1.0,1.0,полностью меблирована,,,1.0,совмещенный,,,47000,42.8541,74.6843,Бишкек,7,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,панельный,1989
собственник,1,"Бишкек, 6 м-н, 6 мкр-н 3/3/каралаева",элитка,45.0,1.0,не достроено,,,,,1.0,1.0,,,3.2,,,бронированная,,42500,42.824,74.6322,Бишкек,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
агент,2,"Бишкек, Магистраль, ул. Байтик Баатыра (недалеко от Южных ворот)",элитка,80.0,1.0,евроремонт,,,,,,,полностью меблирована,,3.0,,совмещенный,бронированная,паркинг,140000,42.8158,74.621,Бишкек,5,14,1,1,1,0,0,0,0,0,0,0,1,0,0,0,монолитный,2023
агент,2,"Бишкек, VEFA, Горького/Фатьянова",элитка,87.0,1.0,евроремонт,,1.0,,проводной,,1.0,частично меблирована,,3.0,1.0,раздельный,металлическая,рядом охраняемая стоянка,106000,42.8562,74.6059,Бишкек,7,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,монолитный,2017
агент,2,"Бишкек, Гагарина, Джал, ул. Курчатова 81",элитка,71.0,,евроремонт,,,,,,,,,3.3,,раздельный,,,83000,42.8469,74.5613,Бишкек,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,3,"Бишкек, 11 м-н",106 серия,64.0,1.0,евроремонт,,1.0,,оптика,1.0,1.0,частично меблирована,ламинат,2.0,,раздельный,бронированная,рядом охраняемая стоянка,95000,42.8202,74.6311,Бишкек,1,9,1,1,0,1,0,0,0,0,1,0,1,0,0,0,панельный,
агент,3,"Бишкек, Асанбай м-н",элитка,122.0,1.0,евроремонт,,1.0,,проводной,1.0,1.0,частично меблирована,,3.0,1.0,раздельный,бронированная,рядом охраняемая стоянка,230000,42.8186,74.6248,Бишкек,11,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,кирпичный,2016
агент,3,"Бишкек, Магистраль, Куттубаева 1/Южн. Магистраль",элитка,97.0,1.0,евроремонт,,,,проводной,1.0,1.0,полностью меблирована,ламинат,3.0,0.0,раздельный,металлическая,,123000,42.8113,74.6221,Бишкек,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,2,"Бишкек, Арча-Бешик ж/м",индивид. планировка,70.0,1.0,евроремонт,,,,проводной,1.0,,полностью меблирована,ламинат,3.0,0.0,раздельный,металлическая,рядом охраняемая стоянка,78000,42.8317,74.5561,Бишкек,4,6,1,1,1,0,0,0,0,0,0,0,1,0,1,0,кирпичный,2023
агент,2,"Бишкек, Московская - Белинка, Боконбаева/Исанова",элитка,82.0,1.0,хорошее,,1.0,,проводной,1.0,1.0,полностью меблирована,,3.0,1.0,раздельный,металлическая,рядом охраняемая стоянка,112000,42.8675,74.5904,Бишкек,7,9,1,1,0,0,0,0,0,0,1,0,1,0,0,0,панельный,2016
агент,2,"Бишкек, Московская - Белинка, Исанова/Боконбаева",индивид. планировка,52.0,1.0,хорошее,,1.0,,проводной,,,полностью меблирована,,,,совмещенный,,рядом охраняемая стоянка,80000,42.8678,74.5907,Бишкек,4,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,
агент,3,"Бишкек, Юг-2 м-н",индивид. планировка,85.0,1.0,хорошее,,1.0,,проводной,1.0,1.0,полностью меблирована,ламинат,3.0,0.0,,деревянная,рядом охраняемая стоянка,85000,42.8581,74.6094,Бишкек,8,9,1,1,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,
агент,1,"Бишкек, 5 м-н",105 серия,41.0,1.0,евроремонт,,,,,1.0,1.0,,,,1.0,,деревянная,,58000,42.8307,74.6283,Бишкек,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,
агент,2,"Бишкек, Молодая Гвардия",104 серия,44.0,1.0,хорошее,,,,,,,,,,,,,,65500,42.8731,74.5773,Бишкек,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,1980
агент,2,"Бишкек, Политех/Ахунбаева/Белинка",хрущевка,48.0,1.0,евроремонт,,,,проводной,1.0,0.0,частично меблирована,ламинат,,,совмещенный,бронированная,рядом охраняемая стоянка,60000,42.8435,74.5857,Бишкек,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,1967
агент,1,"Бишкек, Асанбай м-н",элитка,38.0,1.0,евроремонт,,,,,,,,,,,,бронированная,,56000,42.8189,74.6248,Бишкек,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
агент,2,"Бишкек, Магистраль, Токомбаева 29/5",элитка,80.0,1.0,евроремонт,,,,,,,,,3.0,,,,,85000,42.8239,74.6134,Бишкек,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2017
агент,1,"Бишкек, Кара-Жыгач ж/м",108 серия,43.0,1.0,евроремонт,,,,,,,,,,,,,,51500,42.8599,74.657,Бишкек,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,панельный,
агент,1,"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",элитка,41.0,1.0,под самоотделку (псо),,,,,,,пустая,,3.0,,,,,37000,42.8585,74.6315,Бишкек,3,10,0,1,1,0,0,0,0,0,1,0,0,0,1,0,кирпичный,2024
агент,3,"Бишкек, 7 м-н",элитка,84.0,1.0,хорошее,,,,,,,,,,,,,,105000,42.8281,74.6212,Бишкек,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,
агент,2,"Бишкек, Средний Джал м-н, Тыналиева 1/3",элитка,73.0,1.0,евроремонт,,,,,,,,,3.0,,,,,75000,42.838,74.5683,Бишкек,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2017
агент,1,"Бишкек, Асанбай м-н",элитка,40.0,1.0,евроремонт,,,,,,,,,,,,бронированная,,55800,42.8186,74.6248,Бишкек,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
агент,3,"Бишкек, БГУ",104 серия,58.0,1.0,хорошее,,,,,,,,,,,,,,87000,42.8497,74.5839,Бишкек,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
агент,2,"Бишкек, 12 м-н, 12 мкр., ул. Токомбаева/Саякбая Каралаева",элитка,47.0,1.0,евроремонт,,,,,,,,,3.0,,,,,75000,42.8128,74.6403,Бишкек,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,1,"Бишкек, Политех, Ажыбек-Баатыра 10в",элитка,38.0,1.0,евроремонт,,,,,,,,,3.0,,,,,65000,42.8403,74.5822,Бишкек,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2018
агент,1,"Бишкек, Магистраль, Токомбаева/Куттубаева",элитка,40.18,1.0,евроремонт,,,,,,,,,3.0,,,,,63500,42.8177,74.6152,Бишкек,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,3,"Бишкек, Ак Кеме, пр. Ч.Айтматова 97/3 пер. Южная магистраль",элитка,96.0,1.0,евроремонт,,,,,,,,,,,,,,136000,42.8312,74.5835,Бишкек,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,1,"Бишкек, Политех, Ажыбек-Баатыра 10в",элитка,38.0,1.0,евроремонт,,,,,,,,,3.0,,,,,64000,42.8403,74.5822,Бишкек,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2018
агент,4,"Бишкек, Академия Наук, Киевская/Турусбекова",элитка,230.0,1.0,евроремонт,,,,,,1.0,полностью меблирована,дерево,,,,,рядом охраняемая стоянка,220000,42.8758,74.5843,Бишкек,7,7,1,1,0,0,0,0,0,0,1,0,1,0,0,0,монолитный,2007
агент,4,"Бишкек, Московская - Уметалиева, Уметалиева/Киевская",элитка,120.0,1.0,евроремонт,,,,,,,полностью меблирована,,3.0,,,,паркинг,230000,42.8749,74.5815,Бишкек,2,14,1,1,1,0,0,0,0,0,0,0,1,0,0,0,монолитный,2018
агент,1,"Бишкек, Верхний Джал м-н",106 серия,36.0,1.0,среднее,,,,,,,,,,,,,,55000,42.8346,74.5643,Бишкек,6,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,панельный,
агент,3,"Бишкек, 12 м-н 69",105 серия,69.0,1.0,среднее,,,,,1.0,1.0,частично меблирована,,,,раздельный,бронированная,рядом охраняемая стоянка,87000,42.813,74.6392,Бишкек,7,9,1,1,0,1,1,0,0,0,0,0,0,0,0,0,панельный,
агент,2,"Бишкек, Джал-23 м-н (Нижний Джал), Ахунбаева 67/1",элитка,58.4,1.0,евроремонт,,,,,,,,,3.0,,,,,79000,42.8434,74.5642,Бишкек,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2017
агент,2,"Бишкек, Баха, Джал-15",элитка,77.0,1.0,евроремонт,,,,,,,,,3.0,,,,,89000,42.8461,74.5623,Бишкек,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2019
агент,2,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",элитка,52.0,1.0,евроремонт,,,,,,,,,3.0,,,,,56000,42.8566,74.6386,Бишкек,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,3,"Бишкек, Золотой квадрат, Чуйкова/Панфилова",элитка,118.0,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,125000,42.8712,74.6041,Бишкек,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2021
агент,2,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",108 серия,80.0,1.0,евроремонт,,,,,,,,,2.8,,,,,95000,42.8249,74.591,Бишкек,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,3,"Бишкек, Кок-Жар ж/м, 7 Апреля",элитка,69.5,1.0,евроремонт,,,,,,,,,3.0,,,,,93500,42.8453,74.6357,Бишкек,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2020
агент,1,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",108 серия,51.0,1.0,евроремонт,,,,,,1.0,частично меблирована,ламинат,2.8,,,,паркинг,63000,42.8249,74.591,Бишкек,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,1,"Бишкек, Матросова, Суванбердиева 110",элитка,43.0,1.0,евроремонт,,,,,,,,,3.0,,,,,58000,42.8485,74.6173,Бишкек,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,2,"Бишкек, Баха",элитка,54.0,1.0,евроремонт,,,,,,,,,,,,,,59000,42.8465,74.564,Бишкек,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,
агент,2,"Бишкек, Магистраль, Ч. Айтматова 7/Масалиева",108 серия,65.0,1.0,евроремонт,,,,,,1.0,,паркет,2.8,,,,рядом охраняемая стоянка,74900,42.8249,74.591,Бишкек,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,3,"Бишкек, Военторг, Манасчы Сагынбая 168",элитка,141.0,,под самоотделку (псо),,,,,,,,,3.2,,,,,148050,42.8716,74.5945,Бишкек,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2025
агент,1,"Бишкек, Баха",элитка,44.0,1.0,евроремонт,,,,,,,,,,,,,,56000,42.8464,74.564,Бишкек,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,
агент,2,"Бишкек, Баха",элитка,74.0,1.0,евроремонт,,,,,,,,,,,,,,89000,42.8461,74.5621,Бишкек,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,
агент,1,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",элитка,43.0,1.0,евроремонт,,,,,,,,,3.0,,,,,57000,42.8451,74.5654,Бишкек,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,5,"Бишкек, Магистраль, просп. Ч. Айтматова 299/3",элитка,182.0,,под самоотделку (псо),,,,,,,,,3.4,,,,,285000,42.825,74.5839,Бишкек,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,3,"Бишкек, Военторг",элитка,135.0,,евроремонт,,,,,,,,,,,,,,207000,42.8729,74.5963,Бишкек,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,
агент,2,"Бишкек, Магистраль, Магистраль/Сухэ Батора",элитка,67.11,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,69800,42.8228,74.6152,Бишкек,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,3,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",элитка,104.14,,под самоотделку (псо),,,,,,,,,3.0,,,,,98933,42.8192,74.6031,Бишкек,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,3,"Бишкек, Азия Молл, Ч. Айтматова (пр. Мира) 36",элитка,152.0,1.0,евроремонт,,1.0,,,,,,,3.0,,раздельный,,рядом охраняемая стоянка,156000,42.8545,74.5884,Бишкек,9,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,монолитный,2018
агент,1,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",элитка,39.0,1.0,евроремонт,,,,,,,,,3.0,,,,,68500,42.8188,74.6162,Бишкек,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2021
агент,3,"Бишкек, Бишкек-Парк, Киевская 148",элитка,100.0,1.0,евроремонт,,,,проводной,,,,,3.0,1.0,раздельный,,,199000,42.8746,74.5902,Бишкек,8,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,монолитный,2016
агент,4,"Бишкек, 12 м-н",элитка,123.0,1.0,евроремонт,,1.0,,проводной,1.0,,,ламинат,3.0,1.0,раздельный,,,142000,42.8155,74.6382,Бишкек,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,
агент,1,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",элитка,41.5,,евроремонт,,,,,,,,,3.0,,,,,60300,42.8161,74.6228,Бишкек,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,3,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",элитка,97.0,,евроремонт,,,,,,,,,3.0,,,,,122000,42.8113,74.6221,Бишкек,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,2,"Бишкек, КНУ, Тимирязева/Жумабека",элитка,68.0,1.0,евроремонт,,,,,,,,,3.0,,,,,86200,42.884,74.581,Бишкек,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,2,"Бишкек, Верхний Джал м-н",элитка,80.0,,евроремонт,,,,,,,,,,,,,,97000,42.835,74.5664,Бишкек,9,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,монолитный,
агент,1,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",элитка,42.0,,евроремонт,,,,,,,,,3.0,,,,,62000,42.8113,74.6221,Бишкек,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,3,"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",элитка,138.0,,под самоотделку (псо),,,,,,,,,3.3,,,,,172500,42.8224,74.611,Бишкек,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,5,"Бишкек, Церковь, Жибек Жолу/Керимбекова",элитка,182.0,1.0,евроремонт,,,,,1.0,1.0,полностью меблирована,паркет,3.0,,раздельный,бронированная,паркинг,200000,42.8842,74.5951,Бишкек,7,7,1,1,1,0,1,0,0,0,1,0,1,0,0,0,монолитный,
собственник,2,"Бишкек, Кудайберген,  ул. П. Лумумбы 94/Садыгалиева",индивид. планировка,55.0,1.0,хорошее,0.0,1.0,рассмотрю варианты,проводной,1.0,1.0,полностью меблирована,паркет,2.7,0.0,совмещенный,бронированная,рядом охраняемая стоянка,54990,42.8796,74.5191,Бишкек,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,1986
агент,2,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",элитка,53.0,1.0,евроремонт,,,,,,,,,3.0,,,,,69500,42.8113,74.6221,Бишкек,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,4,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",элитка,147.0,1.0,под самоотделку (псо),,,,,,,,,3.0,,,,,176400,42.8195,74.6155,Бишкек,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2019
агент,2,"Бишкек, Джальская больница, Ахунбаева - Тыналиева",элитка,82.45,,евроремонт,,,,,,,,,,,,,,89000,42.8454,74.5698,Бишкек,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,2,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",элитка,72.0,1.0,евроремонт,,,,,,,,,3.0,,,,,100000,42.8113,74.6221,Бишкек,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,3,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",элитка,97.0,1.0,евроремонт,,,,,,,,,3.0,,,,,122000,42.8113,74.6221,Бишкек,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
агент,4,"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",элитка,180.0,,под самоотделку (псо),,,,,,,,,3.0,,,,,180000,42.8191,74.5857,Бишкек,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2021
агент,4,"Бишкек, Старый аэропорт, Бакаева 132",элитка,113.0,1.0,евроремонт,,,,,,,,,3.0,,,,,137000,42.8419,74.5772,Бишкек,4,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,монолитный,
агент,4,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",элитка,154.0,,под самоотделку (псо),,,,,,,,,3.0,,,,,135520,42.8192,74.6031,Бишкек,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,3,"Бишкек, 6 м-н, Сухэ-Батора-Юнусалиева",элитка,122.0,,евроремонт,,,,,,,,,,,,,,175000,42.8262,74.6235,Бишкек,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,4,"Бишкек, Молодая Гвардия, Рыскулова 95а",элитка,110.0,1.0,евроремонт,,,,,1.0,,частично меблирована,ламинат,3.0,,раздельный,бронированная,паркинг,155000,42.88,74.5746,Бишкек,8,12,1,1,1,1,1,0,0,0,1,0,1,0,0,0,монолитный,
агент,3,"Бишкек, Магистраль, Чынгыза Айтматова/Токомбаева",элитка,150.0,1.0,евроремонт,,,,,,,полностью меблирована,,3.0,,,бронированная,,186000,42.8301,74.5838,Бишкек,6,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,монолитный,2014
агент,4,"Бишкек, Магистраль, пр. Ч. Айтматова 82/2",элитка,157.0,,под самоотделку (псо),,,,,,,,,3.2,,,,,164850,42.8277,74.586,Бишкек,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2021
агент,1,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",элитка,42.0,,евроремонт,,,,,,,,,3.0,,,,,56500,42.8161,74.6228,Бишкек,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
агент,2,"Бишкек, Комфорт",105 серия,60.0,1.0,евроремонт,,,,,,,полностью меблирована,,,,,бронированная,,80800,42.8693,74.6164,Бишкек,2,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,панельный,
агент,2,"Бишкек, ЖД вокзал, Раззакова/Туголбай ата",элитка,90.0,1.0,евроремонт,,,,,,,полностью меблирована,,3.0,,,,паркинг,120000,42.8644,74.6036,Бишкек,10,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,монолитный,2016
агент,3,"Бишкек, Магистраль, ДУЙШЕЕВА/МОЛДОБАСАНОВА (НАПРОТИВ ШК.ГАЗПРОМ)",элитка,131.0,1.0,под самоотделку (псо),,,,,,,,,,,,,,131000,42.8166,74.6113,Бишкек,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2026
агент,2,"Бишкек, Ипподром, Гагарина 139/Баха",элитка,68.0,1.0,хорошее,,,,,1.0,,частично меблирована,,2.8,,раздельный,,паркинг,77500,42.8525,74.5555,Бишкек,3,9,1,1,0,0,0,0,0,0,1,0,1,0,0,0,панельный,2019
агент,3,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",элитка,125.0,1.0,под самоотделку (псо),,,,,,,,,3.1,,,,,123750,42.8398,74.583,Бишкек,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024
агент,2,"Бишкек, Ипподром, Л. Толстого 126 (10/1)",элитка,68.0,,евроремонт,,,,,,,,,3.0,,,,,77000,42.863,74.5556,Бишкек,12,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,монолитный,2018
агент,2,"Бишкек, Военторг, Токтогула/Тоголок Молдо",элитка,67.0,1.0,евроремонт,,,,,1.0,1.0,полностью меблирована,,3.0,,,бронированная,паркинг,130000,42.8717,74.5932,Бишкек,10,13,1,1,0,1,0,0,0,0,1,0,1,0,0,0,монолитный,2021
агент,3,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",элитка,138.0,1.0,под самоотделку (псо),,,,,,,,,3.1,,,,,126960,42.8398,74.583,Бишкек,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2024
агент,4,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",элитка,160.0,1.0,под самоотделку (псо),,,,,,,,,3.1,,,,,147200,42.8398,74.583,Бишкек,3,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,монолитный,2024
агент,1,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",108 серия,48.0,1.0,евроремонт,,,,проводной,1.0,1.0,полностью меблирована,ламинат,2.8,,совмещенный,бронированная,рядом охраняемая стоянка,66500,42.8249,74.591,Бишкек,9,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,монолитный,2022
агент,2,"Бишкек, Московская - Белинка, Московская/Исанова",сталинка,50.0,1.0,евроремонт,,,,,,,,,3.0,,,,,84000,42.8696,74.5908,Бишкек,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,
